dummy,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
4,0.0591218,1.0967536,0.0662464,0.1309636,0.4202294,0.2276126,0.3752426,1.0549056,0.997858,1.0584835
4,0.0846113,0.9578407,0.0716114,0.1433357,0.4586068,0.163063,0.4358189,0.9640531,1.0182749,0.9767816
4,0.0691784,0.9763526,0.0711142,0.149547,0.4266768,0.1830922,0.4136946,1.0052829,0.9474305,1.0181801
4,0.0602865,0.9840176,0.0655758,0.1828404,0.4589371,0.3073401,0.348672,0.9880623,1.0930931,1.0053626
4,0.0721789,0.9619284,0.0492073,0.1220612,0.4908073,0.0672765,0.4388315,0.9897513,1.0362645,1.0529327
4,0.0659715,1.0310568,0.0732169,0.1650022,0.4763294,0.1651753,0.4225287,1.0266546,1.0138318,1.1118928
4,0.0703692,0.9945331,0.049941,0.1306617,0.4970325,0.0740562,0.4140619,1.0244995,1.0082112,0.9638196
4,0.0733614,1.0127758,0.0613893,0.1795007,0.4551019,0.1368317,0.4488275,1.0591286,1.0088507,1.0047779
4,0.075026,1.0648617,0.0537815,0.1715515,0.4437922,0.2412074,0.4058457,0.885653,1.0349559,1.0435072
4,0.0704679,1.0064707,0.0578235,0.1692751,0.4657005,0.1863899,0.4199336,0.9939673,1.0692973,0.9897735
4,0.0800666,1.0614751,0.0668456,0.1057914,0.476786,0.0722625,0.4938325,1.0285126,1.0022058,0.9971142
4,0.0702813,0.9558401,0.0636578,0.1657499,0.4699018,0.2032034,0.375321,1.0336727,0.99761,1.043672
4,0.0874369,1.0157349,0.0522596,0.0942561,0.5101577,0.1178334,0.3897292,1.0246507,1.0681006,1.1258121
4,0.051599,1.030972,0.0619496,0.1723171,0.4261939,0.3251286,0.4387585,0.9578533,1.0007336,1.0572338
4,0.0488157,1.1873488,0.0571927,0.1929414,0.4721744,0.198037,0.4181955,1.006874,0.9745706,1.0510134
4,0.0657779,1.0737753,0.0532411,0.1719389,0.4542235,0.0812656,0.4343356,1.0066944,1.0014485,0.9748191
4,0.0517992,1.004294,0.0757256,0.1333501,0.5087652,0.0916078,0.4638782,1.0364585,1.042212,0.9326446
4,0.0437941,1.0188229,0.0530557,0.1435615,0.5487546,0.0947568,0.3385229,1.045359,1.0190484,0.9638311
4,0.0822532,1.0388512,0.0727189,0.1831352,0.4457085,0.3730614,0.3733311,1.041517,0.9869416,1.0293015
4,0.0995311,0.9623322,0.0591277,0.1491512,0.4427994,0.0875788,0.4372259,1.11324,0.9948051,0.9922519
4,0.0780945,0.9895013,0.0578944,0.1440076,0.4692667,0.1089669,0.3545546,1.0269309,0.988872,1.0622412
4,0.0827167,1.0599938,0.0428545,0.133665,0.509999,0.1023392,0.4255419,0.9735181,0.9702059,0.942068
4,0.0665497,1.0372709,0.0683196,0.1518504,0.4342593,0.2707247,0.3363776,0.9707233,1.0255169,1.01016
4,0.0820957,0.9721674,0.062564,0.1725208,0.4890189,0.2808174,0.3864455,1.1458964,0.9620267,1.0149773
4,0.0555547,0.9885242,0.0626371,0.161982,0.4563174,0.1910025,0.3979223,0.9942093,0.9599445,0.9851275
4,0.0640371,0.923714,0.0657708,0.1507708,0.4500727,0.180164,0.4547525,1.0431199,1.0038126,1.0506969
4,0.064908,1.0523914,0.0515208,0.1148524,0.4845583,0.0513715,0.4407261,0.9863158,0.9941666,0.9546657
4,0.0429192,0.9951721,0.0684494,0.1308454,0.4606801,0.1132091,0.4238243,1.0786634,1.0118805,1.0188134
4,0.0581297,0.9744634,0.0561704,0.1097512,0.5299413,0.0625579,0.4309329,1.0719939,1.1639462,1.0893756
4,0.0748949,0.9475096,0.0566011,0.158015,0.4851363,0.1154436,0.4213899,1.0016081,1.0433164,0.9462792
4,0.0828335,0.9132084,0.0779374,0.2084253,0.4834796,0.2710894,0.4225177,1.0387486,0.9974681,0.9394543
4,0.07173,0.9771047,0.0646416,0.1445983,0.4682821,0.1385615,0.4284718,1.0096376,1.0299644,1.0472126
4,0.0780939,0.9530292,0.0514221,0.1630243,0.4989744,0.2013082,0.3862949,1.105359,1.0266147,1.0883561
4,0.0623142,1.0585835,0.0658467,0.1514332,0.4733531,0.2996778,0.3438756,0.8811931,1.0044475,0.9403543
4,0.0833401,0.9618119,0.0676049,0.1727981,0.420049,0.339735,0.3863273,1.0130073,1.1187449,0.986973
